detIndex;capSecuencia;depTipoObjVer;depCodObjVer;depDesCambio;depJusCambio;depOrigen;depDestino;depCodProv;depDevInt
1;652;O;41051;PROCESO CON CORRECCIONES QUE SIRVEN PARA LAS NOTIFICACIONES A LOS LECTORES ADICIONALES DE LOS FORMULARIOS, Y QUE SON PRECISAMENTE LOS QUE HAN REPORTADO EL PROBLEMA DE ACCESO;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\WORKFLOW\RRHH\2009-09-28_CORRECION_SEGURIDADLECTORESACCIONPERSONAL\ACCIONDEPERSONAL_09-09-28.LWF;\\SRBP00WF01\C$\LOTUS\NOTES\DATA\RELEASE;NULL;NULL
1;653;V;15164;CARGA DE CLIENTES DEL TXT A LA TABLA F03012Z1.TXT;NULL;DV812;PD812;NULL;NULL
1;656;O;27125;CORRECCION EN CAMBIO DE SIGNOS Y TIPO DE DOCUMENTOS AL REGISTRAR DOCUMENTOS PARA LA BAJA;NULL;DV812;PD812;NULL;NULL
1;657;O;41153;CAMBIOS POR FUSION;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\FUSION_AGR_RBP_TESORERIA_IMP\SABI_IMP;ICA/EQUIPO DE FATIMA CALLE;NULL;NULL
1;658;O;41153;SOLUCION AL PROBLEMA DE MIGRACION DE DATOS A INTERFASE;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\C53195_GAVELLAN;ICA/MAQUINA DEL USUARIO CESAR HERRERA;NULL;NULL
1;659;O;41230;SCRIPT DE CONFIGURACION DE SABI;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\FUSION_AGR_RBP_TESORERIA_IMP\SABI_IMP;SRBP00DB01;NULL;NULL
1;660;V;15166;NUEVA VERSION CREADA PARA FUSION RBP-AGR;NULL;DV812;PD812;NULL;NULL
1;661;V;2707;CAMBIO EN OP PARA REGULARIZAR PROCESO DE RBP;NULL;DV812;PD812;NULL;NULL
1;665;O;41155;SE AÑADIO 2 COLUMNAS AL REPORTE;NULL;DV812;PD812;NULL;NULL
1;666;O;24045;ACTUALIZACION DEL OBJETO EN PRODUCCION;NULL;DV812;PD812;NULL;NULL
1;669;O;41234;INGRESAR LA TABLA F03012Z1 EN LA  PARAMETRIZACION DE LA REFERENCIA CRUZADA DE ARCHIVO PLANO;NULL;DV812;PD812;NULL;NULL
